id_code,split,issue,value
92b0d27fc0ec,train,duplicate,92b0d27fc0ec+1a1b4b2450ca
1a1b4b2450ca,valid,duplicate,92b0d27fc0ec+1a1b4b2450ca
2f7789c1e046,train,duplicate,2f7789c1e046+a8e88d4891c4
a8e88d4891c4,train,duplicate,2f7789c1e046+a8e88d4891c4
2a3a1ed1c285,train,duplicate,2a3a1ed1c285+2b21d293fdf2
2b21d293fdf2,train,duplicate,2a3a1ed1c285+2b21d293fdf2
3fd7df6099e3,train,duplicate,3fd7df6099e3+a3b2e93d058b
a3b2e93d058b,train,duplicate,3fd7df6099e3+a3b2e93d058b
ed3a0fc5b546,test,duplicate,ed3a0fc5b546+ba735b286d62
ba735b286d62,train,duplicate,ed3a0fc5b546+ba735b286d62
7a0cff4c24b2,train,duplicate,7a0cff4c24b2+86baef833ae0
86baef833ae0,train,duplicate,7a0cff4c24b2+86baef833ae0
36677b70b1ef,train,duplicate,36677b70b1ef+7bf981d9c7fe
7bf981d9c7fe,train,duplicate,36677b70b1ef+7bf981d9c7fe
fe0fc67c7980,test,duplicate,fe0fc67c7980+521d3e264d71
521d3e264d71,train,duplicate,fe0fc67c7980+521d3e264d71
b06dabab4f09,train,duplicate,b06dabab4f09+d144144a2f3f
d144144a2f3f,train,duplicate,b06dabab4f09+d144144a2f3f
1c6d119c3d70,train,duplicate,1c6d119c3d70+a56230242a95
a56230242a95,train,duplicate,1c6d119c3d70+a56230242a95
f1a761c68559,test,duplicate,f1a761c68559+ff52392372d3
ff52392372d3,test,duplicate,f1a761c68559+ff52392372d3
48c49f662f7d,train,duplicate,48c49f662f7d+6cb98da77e3e
6cb98da77e3e,train,duplicate,48c49f662f7d+6cb98da77e3e
e76a9cbb2a8c,test,duplicate,e76a9cbb2a8c+bb7e0a2544cd
bb7e0a2544cd,train,duplicate,e76a9cbb2a8c+bb7e0a2544cd
f7edc074f06b,test,duplicate,f7edc074f06b+4fecf87184e6+9bf060db8376
4fecf87184e6,train,duplicate,f7edc074f06b+4fecf87184e6+9bf060db8376
9bf060db8376,train,duplicate,f7edc074f06b+4fecf87184e6+9bf060db8376
ff0740cb484a,test,duplicate,ff0740cb484a+b8ac328009e0
b8ac328009e0,train,duplicate,ff0740cb484a+b8ac328009e0
3cd801ffdbf0,train,duplicate,3cd801ffdbf0+7525ebb3434d
7525ebb3434d,train,duplicate,3cd801ffdbf0+7525ebb3434d
cac40227d3b2,train,duplicate,cac40227d3b2+0161338f53cc
0161338f53cc,valid,duplicate,cac40227d3b2+0161338f53cc
ea15a290eb96,test,duplicate,ea15a290eb96+1c9c583c10bf
1c9c583c10bf,train,duplicate,ea15a290eb96+1c9c583c10bf
30cab14951ac,train,duplicate,30cab14951ac+c546670d9684
c546670d9684,train,duplicate,30cab14951ac+c546670d9684
81b0a2651c45,train,duplicate,81b0a2651c45+07419eddd6be
07419eddd6be,valid,duplicate,81b0a2651c45+07419eddd6be
2cceb07ff706,train,duplicate,2cceb07ff706+8a759f94613a
8a759f94613a,train,duplicate,2cceb07ff706+8a759f94613a
8acffaf1f4b9,train,duplicate,8acffaf1f4b9+1411c8ab7161
1411c8ab7161,valid,duplicate,8acffaf1f4b9+1411c8ab7161
19722bff5a09,valid,duplicate,19722bff5a09+19e350c7c83c
19e350c7c83c,valid,duplicate,19722bff5a09+19e350c7c83c
fda39982a810,test,duplicate,fda39982a810+0ac436400db4
0ac436400db4,valid,duplicate,fda39982a810+0ac436400db4
9b418ce42c13,train,duplicate,9b418ce42c13+be161517d3ac
be161517d3ac,train,duplicate,9b418ce42c13+be161517d3ac
38487e1a5b1f,train,duplicate,38487e1a5b1f+b376def52ccc
b376def52ccc,train,duplicate,38487e1a5b1f+b376def52ccc
9f1efb799b7b,train,duplicate,9f1efb799b7b+cd4e7f9fa1a9
cd4e7f9fa1a9,train,duplicate,9f1efb799b7b+cd4e7f9fa1a9
2f284b6a1940,train,duplicate,2f284b6a1940+bb5083fae98f
bb5083fae98f,train,duplicate,2f284b6a1940+bb5083fae98f
5e7db41b3bee,train,duplicate,5e7db41b3bee+a1b12fdce6c3
a1b12fdce6c3,train,duplicate,5e7db41b3bee+a1b12fdce6c3
80964d8e0863,train,duplicate,80964d8e0863+ab50123abadb
ab50123abadb,train,duplicate,80964d8e0863+ab50123abadb
576e189d23d4,train,duplicate,576e189d23d4+1638404f385c
1638404f385c,valid,duplicate,576e189d23d4+1638404f385c
435d900fa7b2,train,duplicate,435d900fa7b2+1006345f70b7
1006345f70b7,valid,duplicate,435d900fa7b2+1006345f70b7
f066db7a2efe,test,duplicate,f066db7a2efe+278aa860dffd
278aa860dffd,train,duplicate,f066db7a2efe+278aa860dffd
d567a1a22d33,train,duplicate,d567a1a22d33+12e3f5f2cb17
12e3f5f2cb17,valid,duplicate,d567a1a22d33+12e3f5f2cb17
98e8adcf085c,train,duplicate,98e8adcf085c+026dcd9af143
026dcd9af143,valid,duplicate,98e8adcf085c+026dcd9af143
63a03880939c,train,duplicate,63a03880939c+05a5183c92d0
05a5183c92d0,valid,duplicate,63a03880939c+05a5183c92d0
4ce74e5eb51d,train,duplicate,4ce74e5eb51d+c68dfa021d62
c68dfa021d62,train,duplicate,4ce74e5eb51d+c68dfa021d62
1dfbede13143,train,duplicate,1dfbede13143+38fe9f854046
38fe9f854046,train,duplicate,1dfbede13143+38fe9f854046
3ee4841936ef,train,duplicate,3ee4841936ef+7005be54cab1
7005be54cab1,train,duplicate,3ee4841936ef+7005be54cab1
64678182d8a8,train,duplicate,64678182d8a8+6b00cb764237
6b00cb764237,train,duplicate,64678182d8a8+6b00cb764237
8fc09fecd22f,train,duplicate,8fc09fecd22f+d1cad012a254
d1cad012a254,train,duplicate,8fc09fecd22f+d1cad012a254
68332fdcaa70,train,duplicate,68332fdcaa70+d801c0a66738
d801c0a66738,train,duplicate,68332fdcaa70+d801c0a66738
3a1d3ce00f0c,train,duplicate,3a1d3ce00f0c+a19507501b40
a19507501b40,train,duplicate,3a1d3ce00f0c+a19507501b40
80feb1f7ca5e,train,duplicate,80feb1f7ca5e+878a3a097436
878a3a097436,train,duplicate,80feb1f7ca5e+878a3a097436
906d02fb822d,train,duplicate,906d02fb822d+a4012932e18d
a4012932e18d,train,duplicate,906d02fb822d+a4012932e18d
8446826853d0,train,duplicate,8446826853d0+8ef2eb8c51c4
8ef2eb8c51c4,train,duplicate,8446826853d0+8ef2eb8c51c4
e740af6ac6ea,test,duplicate,e740af6ac6ea+98f7136d2e7a
98f7136d2e7a,train,duplicate,e740af6ac6ea+98f7136d2e7a
ba2624883599,train,duplicate,ba2624883599+14515b8f19b6
14515b8f19b6,valid,duplicate,ba2624883599+14515b8f19b6
71c1a3cdbe47,train,duplicate,71c1a3cdbe47+79ce83c07588
79ce83c07588,train,duplicate,71c1a3cdbe47+79ce83c07588
1e143fa3de57,train,duplicate,1e143fa3de57+144b01e7b993
144b01e7b993,valid,duplicate,1e143fa3de57+144b01e7b993
cd93a472e5cd,train,duplicate,cd93a472e5cd+d035c2bd9104
d035c2bd9104,train,duplicate,cd93a472e5cd+d035c2bd9104
3435fd8675a2,train,duplicate,3435fd8675a2+c62585bd68fb
c62585bd68fb,train,duplicate,3435fd8675a2+c62585bd68fb
5eb311bcb5f9,train,duplicate,5eb311bcb5f9+a9e984b57556
a9e984b57556,train,duplicate,5eb311bcb5f9+a9e984b57556
8688f3d0fcaf,train,duplicate,8688f3d0fcaf+bfefa7344e7d+d85ea1220a03
bfefa7344e7d,train,duplicate,8688f3d0fcaf+bfefa7344e7d+d85ea1220a03
d85ea1220a03,train,duplicate,8688f3d0fcaf+bfefa7344e7d+d85ea1220a03
f9ecf1795804,test,duplicate,f9ecf1795804+d28bd830c171
d28bd830c171,train,duplicate,f9ecf1795804+d28bd830c171
a75bab2463d4,train,duplicate,a75bab2463d4+1632c4311fc9
1632c4311fc9,valid,duplicate,a75bab2463d4+1632c4311fc9
7550966ef777,train,duplicate,7550966ef777+8d7bb0649a02
8d7bb0649a02,train,duplicate,7550966ef777+8d7bb0649a02
7d261f986bef,train,duplicate,7d261f986bef+91cbe1c775ef
91cbe1c775ef,train,duplicate,7d261f986bef+91cbe1c775ef
ea9e0fb6fb0b,test,duplicate,ea9e0fb6fb0b+23d7ca170bdb
23d7ca170bdb,train,duplicate,ea9e0fb6fb0b+23d7ca170bdb
eadc57064154,test,duplicate,eadc57064154+6c3745a222da
6c3745a222da,train,duplicate,eadc57064154+6c3745a222da
f4d3777f2710,test,duplicate,f4d3777f2710+5dc23e440de3
5dc23e440de3,train,duplicate,f4d3777f2710+5dc23e440de3
f0f89314e860,test,duplicate,f0f89314e860+14e3f84445f7
14e3f84445f7,valid,duplicate,f0f89314e860+14e3f84445f7
3dbfbc11e105,train,duplicate,3dbfbc11e105+d0079cc188e9
d0079cc188e9,train,duplicate,3dbfbc11e105+d0079cc188e9
42a850acd2ac,train,duplicate,42a850acd2ac+51131b48f9d4+8cb6b0efaaac
51131b48f9d4,train,duplicate,42a850acd2ac+51131b48f9d4+8cb6b0efaaac
8cb6b0efaaac,train,duplicate,42a850acd2ac+51131b48f9d4+8cb6b0efaaac
a505981d1cab,train,duplicate,a505981d1cab+d994203deb64
d994203deb64,train,duplicate,a505981d1cab+d994203deb64
2df07eb5779f,train,duplicate,2df07eb5779f+b91ef82e723a
b91ef82e723a,train,duplicate,2df07eb5779f+b91ef82e723a
4a44cc840ebe,train,duplicate,4a44cc840ebe+0cb14014117d
0cb14014117d,valid,duplicate,4a44cc840ebe+0cb14014117d
7e160c8b611e,train,duplicate,7e160c8b611e+91b6ebaa3678
91b6ebaa3678,train,duplicate,7e160c8b611e+91b6ebaa3678
840527bc6628,train,duplicate,840527bc6628+857002ed4e49
857002ed4e49,train,duplicate,840527bc6628+857002ed4e49
aca88f566228,train,duplicate,aca88f566228+c05b7b4c22fe
c05b7b4c22fe,train,duplicate,aca88f566228+c05b7b4c22fe
94372043d55b,train,duplicate,94372043d55b+0dce95217626
0dce95217626,valid,duplicate,94372043d55b+0dce95217626
f920ccd926db,test,duplicate,f920ccd926db+bcdc8db5423b
bcdc8db5423b,train,duplicate,f920ccd926db+bcdc8db5423b
2b48daf24be0,train,duplicate,2b48daf24be0+9a94e0316ee3
9a94e0316ee3,train,duplicate,2b48daf24be0+9a94e0316ee3
cd3fd04d72f5,train,duplicate,cd3fd04d72f5+d81b6ed83bc2
d81b6ed83bc2,train,duplicate,cd3fd04d72f5+d81b6ed83bc2
aeed1f251ceb,train,duplicate,aeed1f251ceb+c0e509786f7f
c0e509786f7f,train,duplicate,aeed1f251ceb+c0e509786f7f
75a7bc945b7d,train,duplicate,75a7bc945b7d+98104c8c67eb
98104c8c67eb,train,duplicate,75a7bc945b7d+98104c8c67eb
33778d136069,train,duplicate,33778d136069+4ccfa0b4e96c
4ccfa0b4e96c,train,duplicate,33778d136069+4ccfa0b4e96c
9b7b6e4db1d5,train,duplicate,9b7b6e4db1d5+9f4132bd6ed6
9f4132bd6ed6,train,duplicate,9b7b6e4db1d5+9f4132bd6ed6
6e92b1c5ac8e,train,duplicate,6e92b1c5ac8e+9c52b87d01f1
9c52b87d01f1,train,duplicate,6e92b1c5ac8e+9c52b87d01f1
9c5dd3612f0c,train,duplicate,9c5dd3612f0c+c9f0dc2c8b43
c9f0dc2c8b43,train,duplicate,9c5dd3612f0c+c9f0dc2c8b43
33105f9b3a04,train,duplicate,33105f9b3a04+111898ab463d
111898ab463d,valid,duplicate,33105f9b3a04+111898ab463d
a8b637abd96b,train,duplicate,a8b637abd96b+e2c3b037413b
e2c3b037413b,train,duplicate,a8b637abd96b+e2c3b037413b
f9e1c439d4c8,test,duplicate,f9e1c439d4c8+3f44d749cd0b
3f44d749cd0b,train,duplicate,f9e1c439d4c8+3f44d749cd0b
ea05c22d92e9,test,duplicate,ea05c22d92e9+ca0f1a17c8e5
ca0f1a17c8e5,train,duplicate,ea05c22d92e9+ca0f1a17c8e5
22895c89792f,train,duplicate,22895c89792f+bd5013540a13
bd5013540a13,train,duplicate,22895c89792f+bd5013540a13
36041171f441,train,duplicate,36041171f441+595446774178
595446774178,train,duplicate,36041171f441+595446774178
ee2c2a5f7d0e,test,duplicate,ee2c2a5f7d0e+7877be80901c
7877be80901c,train,duplicate,ee2c2a5f7d0e+7877be80901c
3b018e8b7303,train,duplicate,3b018e8b7303+3ddb86eb530e+0243404e8a00
3ddb86eb530e,train,duplicate,3b018e8b7303+3ddb86eb530e+0243404e8a00
0243404e8a00,valid,duplicate,3b018e8b7303+3ddb86eb530e+0243404e8a00
4d9fc85a8259,train,duplicate,4d9fc85a8259+16ce555748d8
16ce555748d8,valid,duplicate,4d9fc85a8259+16ce555748d8
2c2aa057afc5,train,duplicate,2c2aa057afc5+135575dc57c9
135575dc57c9,valid,duplicate,2c2aa057afc5+135575dc57c9
1f07dae3cadb,train,duplicate,1f07dae3cadb+012a242ac6ff
012a242ac6ff,valid,duplicate,1f07dae3cadb+012a242ac6ff
ca891d37a43c,train,duplicate,ca891d37a43c+dc3c0d8ee20b
dc3c0d8ee20b,train,duplicate,ca891d37a43c+dc3c0d8ee20b
bacfb1029f6b,train,duplicate,bacfb1029f6b+e12d41e7b221
e12d41e7b221,train,duplicate,bacfb1029f6b+e12d41e7b221
65c958379680,train,duplicate,65c958379680+11242a67122d
11242a67122d,valid,duplicate,65c958379680+11242a67122d
b9127e38d9b9,train,duplicate,b9127e38d9b9+e39b627cf648
e39b627cf648,train,duplicate,b9127e38d9b9+e39b627cf648
f6f3ea0d2693,test,duplicate,f6f3ea0d2693+1e9224ccca95
1e9224ccca95,train,duplicate,f6f3ea0d2693+1e9224ccca95
42985aa2e32f,train,duplicate,42985aa2e32f+6165081b9021
6165081b9021,train,duplicate,42985aa2e32f+6165081b9021
46cdc8b685bd,train,duplicate,46cdc8b685bd+e4151feb8443
e4151feb8443,train,duplicate,46cdc8b685bd+e4151feb8443
3044022c6969,train,duplicate,3044022c6969+04ac765f91a1
04ac765f91a1,valid,duplicate,3044022c6969+04ac765f91a1
3e86335bc2fd,train,duplicate,3e86335bc2fd+0c7e82daf5a0
0c7e82daf5a0,valid,duplicate,3e86335bc2fd+0c7e82daf5a0
1c5e6cdc7ee1,train,duplicate,1c5e6cdc7ee1+3c53198519f7
3c53198519f7,train,duplicate,1c5e6cdc7ee1+3c53198519f7
7a3ea1779b13,train,duplicate,7a3ea1779b13+a8582e346df0+c027e5482e8c+ca6842bfcbc9
a8582e346df0,train,duplicate,7a3ea1779b13+a8582e346df0+c027e5482e8c+ca6842bfcbc9
c027e5482e8c,train,duplicate,7a3ea1779b13+a8582e346df0+c027e5482e8c+ca6842bfcbc9
ca6842bfcbc9,train,duplicate,7a3ea1779b13+a8582e346df0+c027e5482e8c+ca6842bfcbc9
e8d1c6c07cf2,test,duplicate,e8d1c6c07cf2+f23902998c21
f23902998c21,test,duplicate,e8d1c6c07cf2+f23902998c21
65e51e18242b,train,duplicate,65e51e18242b+cc12453ea915
cc12453ea915,train,duplicate,65e51e18242b+cc12453ea915
1ae8c165fd53,train,duplicate,1ae8c165fd53+5a36cea278ae
5a36cea278ae,train,duplicate,1ae8c165fd53+5a36cea278ae
1ee1eb7943db,train,duplicate,1ee1eb7943db+c2d2b4f536da
c2d2b4f536da,train,duplicate,1ee1eb7943db+c2d2b4f536da
40e9b5630438,train,duplicate,40e9b5630438+77a9538b8362
77a9538b8362,train,duplicate,40e9b5630438+77a9538b8362
1c4d87baaffc,train,duplicate,1c4d87baaffc+35aa7f5c2ec0
35aa7f5c2ec0,train,duplicate,1c4d87baaffc+35aa7f5c2ec0
f03d3c4ce7fb,test,duplicate,f03d3c4ce7fb+9a3c03a5ad0f
9a3c03a5ad0f,train,duplicate,f03d3c4ce7fb+9a3c03a5ad0f
7b691d9ced34,train,duplicate,7b691d9ced34+d51c2153d151
d51c2153d151,train,duplicate,7b691d9ced34+d51c2153d151
e4e343eaae2a,test,duplicate,e4e343eaae2a+43fb6eda9b97
43fb6eda9b97,train,duplicate,e4e343eaae2a+43fb6eda9b97
530d78467615,train,duplicate,530d78467615+c1c8550508e0
c1c8550508e0,train,duplicate,530d78467615+c1c8550508e0
2923971566fe,train,duplicate,2923971566fe+badb5ff8d3c7
badb5ff8d3c7,train,duplicate,2923971566fe+badb5ff8d3c7
9b32e8ef0ca0,train,duplicate,9b32e8ef0ca0+a15652b22ab8
a15652b22ab8,train,duplicate,9b32e8ef0ca0+a15652b22ab8
